"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"组合查询测试","5448","test_tree_03_search[T0011-]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
"组合查询测试","6283","test_tree_03_search[-\u4e0d\u77e5\u706b\u4e11\u6a58\u6811]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
"组合查询测试","7199","test_tree_03_search[T0001-\u7ea2\u5bcc\u58eb\u82f9\u679c\u6811]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
"批量新增果品类型","10736","test_fruit_01_add_single[L3001-\u9ec4\u91d1\u767e\u9999\u679c-\u679c\u6c41\u591a\uff0c\u9999\u6c14\u6d53\u90c1\uff0c\u751c\u5ea6\u9ad8\uff0c\u76f4\u63a5\u98df\u7528\u53e3\u611f\u6781\u4f73\u3002]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
"批量新增果树","15298","test_tree_01_add_single[T0001-\u7ea2\u5bcc\u58eb\u82f9\u679c\u6811-3]","test_cases","2026-01-16","broken","2026-01-16","TestOrchard","test_orchard","",""
"批量新增果树","10041","test_tree_01_add_single[T0020-\u4e0d\u77e5\u706b\u4e11\u6a58\u6811-2]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
"批量新增果品类型","29363","test_fruit_01_add_single[A1001-\u8354\u679d-\u5cad\u5357\u7279\u8272\uff0c\u58f3\u8584\u8089\u539a]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
"果品查询测试","5359","test_fruit_03_search[\u798f\u5efa\u742f\u6eaa\u871c\u5c24]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
"果品查询测试","5241","test_fruit_03_search[\u8d63\u5357\u8110\u6a59]","test_cases","2026-01-16","passed","2026-01-16","TestOrchard","test_orchard","",""
